sample	proportion_masked
RG10	0.287
RG11N	0.32901
RG15	0.55344
RG19	0.01784
RG2	0.00665
RG21N	0.17631
RG24	0.01369
RG32N	0.00277
RG34	0.02155
RG35	0.74162
RG36	0.01296
RG37N	0.00891
RG39	0.00834
RG4N	0.00824
RG7	0.01699
RG8	0.15624
RG9	0.00276
ZI10	0.00057
ZI103	0.00226
ZI104	0.02082
ZI118N	0.01145
ZI126	0.02002
ZI129	0.01341
ZI134N	0.01039
ZI136	0.05584
ZI138	0.02547
ZI152	0.00495
ZI157	0.02031
ZI164	0.02719
ZI165	0.00646
ZI167	0.04854
ZI170	0.00565
ZI172	0.00794
ZI173	0.00541
ZI176	0.01156
ZI177	0.0044
ZI178	0.00344
ZI179	0.0031
ZI182	0.01157
ZI185	0.01193
ZI188	0.01304
ZI190	0.00182
ZI191	0.00348
ZI193	0.03994
ZI196	0.01829
ZI197N	0.00643
ZI198	0.00583
ZI199	0.01007
ZI200	0.00565
ZI202	0.00306
ZI206	0.00165
ZI212	0.02302
ZI216N	0.01441
ZI218	0.00503
ZI220	0.04602
ZI221	0.00511
ZI225	0.0066
ZI226	0.02493
ZI227	0.002
ZI228	0.00158
ZI230	0.00364
ZI231	0.00174
ZI237	0.00536
ZI240	0.09357
ZI241	0.00963
ZI251N	0.00896
ZI26	0.02002
ZI261	0.01791
ZI263	0.07675
ZI269	0.00261
ZI273N	0.01496
ZI276	0.01869
ZI279	0.0437
ZI28	0.00269
ZI281	0.00417
ZI284	0.01168
ZI286	0.03459
ZI291	0.01439
ZI293	0.00253
ZI295	0.02096
ZI313	0.09884
ZI314	0.01379
ZI316	0.01101
ZI317	0.04679
ZI319	0.02185
ZI31N	0.01124
ZI329	0.01602
ZI33	0.01386
ZI335	0.01035
ZI336	0.00811
ZI342	0.01376
ZI351	0.00981
ZI352	0.0145
ZI353	0.00401
ZI357N	0.00555
ZI359	0.0182
ZI362	0.01062
ZI370	0.01742
ZI373	0.00345
ZI374	0.00167
ZI377	0.01754
ZI380	0.00688
ZI381	0.00149
ZI382	0.02502
ZI392	0.0111
ZI394N	0.03226
ZI395	0.01274
ZI396	0.01364
ZI397N	0.01901
ZI405	0.04572
ZI413	0.02069
ZI421	0.00948
ZI429	0.00386
ZI431	0.01508
ZI433	0.01494
ZI444	0.00572
ZI445	0.00663
ZI446	0.01901
ZI448	0.00859
ZI453	0.00307
ZI458	0.01232
ZI466	0.00762
ZI467	0.03862
ZI468	0.00263
ZI471	0.01054
ZI472	0.00734
ZI488	0.00735
ZI490	0.01916
ZI491	0.01128
ZI504	0.00193
ZI505	0.03951
ZI508	0.05424
ZI50N	0.00291
ZI514N	0.00236
ZI524	0.02403
ZI530	0.05644
ZI56	0.26254
ZI59	0.00366
ZI61	0.04456
ZI68	0.00742
ZI76	0.00049
ZI81	0.02765
ZI86	0.02832
ZI91	0.01345
ZI99	0.00221
